127.0.0.1 - - [22/Mar/2020:14:16:03 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:16:05 +0530] "GET /rl.medicine/ HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:16:23 +0530] "GET /rl.medicine/ HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:16:25 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:16:28 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:16:30 +0530] "POST /rl.medicine/login HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:16:35 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1741
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:16:55 +0530] "POST /rl.medicine/save HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:24:03 +0530] "POST /rl.medicine/save HTTP/1.1" 200 1846
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:24:06 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:24:08 +0530] "POST /rl.medicine/login HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:28:28 +0530] "GET /rl.medicine/add_medicine_detail HTTP/1.1" 200 1815
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:28:42 +0530] "POST /rl.medicine/save HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:28:45 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:35:58 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:36:00 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:36:02 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:36:21 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:37:28 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:37:28 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:38:07 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:38:35 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:39:08 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 2719
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:39:44 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:39:45 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:39:47 +0530] "GET /rl.medicine/medicine_by_box HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:39:49 +0530] "POST /rl.medicine/show_medicine_box_list HTTP/1.1" 200 2520
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:40:14 +0530] "GET /rl.medicine/home HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:40:15 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 429
0:0:0:0:0:0:0:1 - - [22/Mar/2020:14:40:16 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 1066
