127.0.0.1 - - [27/Mar/2020:22:40:49 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [27/Mar/2020:22:40:50 +0530] "GET /rl.medicine/ HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [27/Mar/2020:22:40:51 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [27/Mar/2020:23:58:22 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [27/Mar/2020:23:58:25 +0530] "POST /rl.medicine/login HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [27/Mar/2020:23:58:28 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [27/Mar/2020:23:58:29 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [27/Mar/2020:23:58:31 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 10584
0:0:0:0:0:0:0:1 - - [27/Mar/2020:23:58:45 +0530] "GET /rl.medicine/home HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [27/Mar/2020:23:58:47 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [27/Mar/2020:23:58:49 +0530] "GET /rl.medicine/all_medicines HTTP/1.1" 200 36395
0:0:0:0:0:0:0:1 - - [27/Mar/2020:23:59:02 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [27/Mar/2020:23:59:06 +0530] "POST /rl.medicine/login HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [27/Mar/2020:23:59:08 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [27/Mar/2020:23:59:10 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [27/Mar/2020:23:59:11 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 10584
0:0:0:0:0:0:0:1 - - [27/Mar/2020:23:59:49 +0530] "GET /rl.medicine/home HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [27/Mar/2020:23:59:51 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [27/Mar/2020:23:59:53 +0530] "GET /rl.medicine/medicine_by_name HTTP/1.1" 200 2590
0:0:0:0:0:0:0:1 - - [27/Mar/2020:23:59:57 +0530] "POST /rl.medicine/show_medicine_name_list HTTP/1.1" 200 7312
