127.0.0.1 - - [19/Apr/2020:14:31:47 +0530] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [19/Apr/2020:14:31:50 +0530] "GET /rl.medicine/ HTTP/1.1" 200 95
192.168.0.100 - - [19/Apr/2020:14:33:13 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
192.168.0.100 - - [19/Apr/2020:14:33:14 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
192.168.0.100 - - [19/Apr/2020:14:33:17 +0530] "POST /rl.medicine/login HTTP/1.1" 200 434
192.168.0.100 - - [19/Apr/2020:14:33:22 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
192.168.0.100 - - [19/Apr/2020:14:33:29 +0530] "GET /rl.medicine/all_medicines HTTP/1.1" 200 47109
192.168.0.100 - - [19/Apr/2020:14:35:37 +0530] "GET /rl.medicine/all_medicines_by_chemical_name HTTP/1.1" 200 24364
192.168.0.100 - - [19/Apr/2020:14:36:04 +0530] "GET /rl.medicine/all_medicines_by_chemical_name HTTP/1.1" 200 24364
192.168.0.100 - - [19/Apr/2020:14:36:06 +0530] "GET /rl.medicine/all_medicines HTTP/1.1" 200 47109
192.168.0.100 - - [19/Apr/2020:14:41:15 +0530] "GET /rl.medicine/all_medicines HTTP/1.1" 200 47109
192.168.0.100 - - [19/Apr/2020:14:43:48 +0530] "GET /rl.medicine/all_medicines HTTP/1.1" 200 47109
192.168.0.100 - - [19/Apr/2020:14:48:50 +0530] "GET /rl.medicine/all_medicines HTTP/1.1" 200 47109
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:12:28 +0530] "GET /rl.medicine/app HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:12:30 +0530] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:13:11 +0530] "POST /rl.medicine/login HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:13:14 +0530] "GET /rl.medicine/view_medicine_detail HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [19/Apr/2020:15:13:16 +0530] "GET /rl.medicine/all_medicines HTTP/1.1" 200 47109
